MerchantID,Name,BusinessType,RegistrationDate,GSTStatus,AvgTransactionVolume
M-00034,Willis-Carter,Wholesale,2023-03-02,Registered,40944.06
M-00035,"Taylor, Young and Ellis",Retail,2022-12-07,Registered,28552.14
M-00036,Reynolds and Sons,Services,2016-05-03,Registered,47169.91
M-00037,Mitchell-Reed,Services,2024-03-08,Not Registered,42574.03
M-00038,Lee-Ramos,Services,2018-08-16,Not Registered,7933.4
M-00039,"Houston, Padilla and Phelps",Wholesale,2016-12-07,Registered,36615.1
M-00040,"Bryant, Smith and Valencia",Food & Beverage,2019-07-08,Not Registered,17023.66
M-00041,Giles-Wong,E-commerce,2016-03-30,Not Registered,37840.94
M-00042,Ross and Sons,Retail,2019-01-19,Not Registered,4949.52
M-00043,King-Peters,Services,2020-01-04,Registered,17398.03
M-00044,House-Smith,Retail,2022-03-08,Not Registered,19279.04
M-00045,Robinson Inc,Services,2015-09-25,Not Registered,47456.7
M-00046,"Thomas, Bradley and Lewis",Services,2022-12-07,Not Registered,1336.04
M-00047,Soto Inc,Retail,2017-01-24,Registered,32472.22
M-00048,"Hernandez, Bender and Nunez",Retail,2018-08-19,Registered,33439.84
M-00049,Clark-Jordan,Retail,2018-05-02,Registered,13683.65
M-00050,Mccarthy-Gutierrez,Services,2024-03-17,Not Registered,38606.39
M-00051,Warren Group,Wholesale,2020-09-23,Registered,43455.78
M-00052,Hunter-Newman,Services,2021-07-31,Not Registered,2847.58
M-00053,Collins-Blake,Food & Beverage,2017-04-14,Registered,43225.1
M-00054,"Mclaughlin, Nunez and Roberts",Food & Beverage,2021-01-28,Not Registered,23397.81
M-00055,"Smith, Yang and Parker",Retail,2017-10-28,Registered,9806.39
M-00056,Becker-Moreno,E-commerce,2018-06-13,Registered,29953.34
M-00057,Woods Ltd,Food & Beverage,2020-11-21,Registered,42324.58
M-00058,White-Schwartz,Retail,2016-11-06,Not Registered,23608.89
M-00059,"Perry, Gibson and Ryan",Wholesale,2017-10-13,Registered,38290.62
M-00060,Houston Group,E-commerce,2015-05-31,Not Registered,29755.59
M-00061,"Mccarty, Robertson and White",Services,2015-04-20,Not Registered,49161.82
M-00062,Gaines-Lee,Services,2018-09-29,Not Registered,1375.17
M-00063,Phillips-Richards,E-commerce,2018-04-21,Registered,36610.66
M-00064,"Williams, Martinez and Randall",E-commerce,2023-05-24,Not Registered,31008.09
M-00065,"Meza, Martin and Vazquez",Wholesale,2019-08-19,Not Registered,41514.38
M-00066,Hughes PLC,Retail,2019-02-05,Not Registered,16827.63
M-00067,Castro LLC,Retail,2019-03-02,Registered,40932.7
M-00068,Gonzales PLC,Food & Beverage,2017-09-14,Not Registered,43825.47
M-00069,"Harvey, Bradford and Pacheco",Wholesale,2021-04-26,Registered,36568.26
M-00070,"Torres, Davis and Lane",Retail,2017-06-14,Not Registered,44473.7
M-00071,"Moore, Patterson and Stanley",E-commerce,2023-12-20,Not Registered,44305.1
M-00072,Cain LLC,Food & Beverage,2023-08-28,Registered,19003.75
M-00073,Anderson LLC,Services,2015-01-25,Not Registered,39020.15
M-00074,"Holland, Novak and Williams",E-commerce,2017-01-26,Registered,32864.85
M-00075,Cline-Pugh,E-commerce,2022-06-12,Not Registered,6085.34
M-00076,"Sutton, Gonzales and Thompson",Services,2015-07-04,Not Registered,32387.26
M-00077,Santana Group,Food & Beverage,2022-06-22,Not Registered,43529.13
M-00078,Evans PLC,Wholesale,2015-04-13,Not Registered,34481.0
M-00079,Cole Group,E-commerce,2020-10-02,Not Registered,2357.91
M-00080,Brown and Sons,E-commerce,2023-01-05,Not Registered,20272.58
M-00081,Hansen-Richardson,Wholesale,2021-05-20,Registered,18159.4
M-00082,"Daugherty, Obrien and Ramos",Wholesale,2015-02-05,Registered,27469.8
M-00083,Freeman Group,Wholesale,2017-12-10,Registered,15587.4
M-00084,"Eaton, Valentine and Moore",Wholesale,2015-03-28,Not Registered,45586.15
M-00085,"Hall, Mitchell and Rowe",Wholesale,2014-11-23,Registered,31834.83
M-00086,Rangel-Jones,E-commerce,2019-05-21,Registered,48277.1
M-00087,"Oliver, Vega and Conner",Services,2020-10-17,Not Registered,17127.56
M-00088,Gray-James,Wholesale,2017-11-18,Not Registered,24126.53
M-00089,"King, Garner and Anderson",Services,2021-08-08,Registered,48492.7
M-00090,"Klein, Carter and Wolfe",Retail,2017-04-11,Registered,23533.2
M-00091,"Herman, Schneider and Morton",Food & Beverage,2017-08-04,Not Registered,22409.71
M-00092,"Evans, Davis and Cabrera",Services,2020-05-21,Not Registered,41248.77
M-00093,Fry-Hicks,Wholesale,2022-06-29,Registered,38713.52
M-00094,"Romero, Larson and Morton",E-commerce,2015-06-07,Registered,24129.47
M-00095,Peterson-Pugh,Services,2024-06-07,Registered,49752.81
M-00096,Ford-Cameron,E-commerce,2014-12-09,Registered,3731.51
M-00097,"James, Lee and Ross",Food & Beverage,2015-02-23,Not Registered,4635.5
M-00098,Rodriguez PLC,Food & Beverage,2021-03-23,Registered,35235.9
M-00099,Mclaughlin-Mann,Wholesale,2020-06-26,Registered,27147.59
M-00100,"Murillo, Hernandez and Schwartz",Wholesale,2018-06-27,Registered,38705.95
M-00101,"Daniel, Brooks and Foster",Food & Beverage,2016-04-12,Not Registered,6002.54
M-00102,"Baldwin, Vincent and Lopez",Food & Beverage,2020-12-24,Not Registered,17056.67
M-00103,Quinn-Walter,Wholesale,2022-10-10,Not Registered,48068.14
M-00104,Espinoza Inc,Services,2020-12-08,Not Registered,20471.7
M-00105,"Walker, Gomez and White",Retail,2022-02-03,Not Registered,42667.98
M-00106,"Sanders, Orr and King",Services,2018-05-07,Not Registered,46379.81
M-00107,Bender LLC,Food & Beverage,2024-03-05,Not Registered,34405.36
M-00108,Daniels-Allen,Wholesale,2015-10-20,Registered,21627.47
M-00109,Jensen and Sons,Wholesale,2019-07-09,Not Registered,45767.09
M-00110,Riley-Torres,E-commerce,2024-09-27,Registered,20507.43
M-00111,Nguyen-Holmes,Services,2016-03-20,Registered,22769.2
M-00112,"Martin, Nguyen and Wright",E-commerce,2019-07-27,Registered,38549.18
M-00113,Rubio-Perry,Retail,2022-01-25,Not Registered,37054.59
M-00114,Vega-King,E-commerce,2015-07-27,Registered,34909.96
M-00115,"Fisher, Rodriguez and Carlson",Services,2021-03-17,Registered,11375.27
M-00116,"Williams, Sims and Curry",Retail,2015-12-19,Not Registered,21723.97
M-00117,Blankenship PLC,Services,2021-03-08,Registered,37495.74
M-00118,"Valdez, Frederick and Ford",Services,2018-02-09,Registered,22082.16
M-00119,Jackson-Jenkins,Retail,2015-06-11,Not Registered,30516.27
M-00120,"Wilson, Cohen and Olson",Retail,2015-09-22,Not Registered,5938.7
M-00121,Aguirre PLC,Services,2020-01-12,Not Registered,47080.09
M-00122,Nelson Ltd,Food & Beverage,2023-09-29,Not Registered,43342.98
M-00123,Garcia-Phillips,Food & Beverage,2020-07-23,Registered,24060.63
M-00124,"King, Waters and Jackson",Wholesale,2018-05-13,Registered,19677.15
M-00125,Williams LLC,Food & Beverage,2017-07-23,Not Registered,1012.99
M-00126,Mitchell-Perry,Retail,2021-08-12,Registered,2975.93
M-00127,"Martin, Nguyen and Clay",Retail,2019-08-23,Registered,46526.18
M-00128,Edwards-Martin,Retail,2017-12-21,Registered,1396.58
M-00129,"Miller, Fisher and Kelly",Retail,2018-10-19,Registered,28593.93
M-00130,Parker-Hill,Retail,2022-09-13,Registered,34996.09
M-00131,"Hayden, Dennis and Pena",Retail,2022-10-26,Registered,27160.12
M-00132,Hutchinson Inc,Services,2023-06-27,Registered,27353.16
M-00133,Eaton-Hale,Wholesale,2023-02-20,Registered,25292.79
M-00134,Price Ltd,E-commerce,2018-12-10,Not Registered,23921.05
M-00135,Oneill Group,Wholesale,2023-01-21,Registered,8812.73
M-00136,Campbell-Martin,Wholesale,2019-11-26,Registered,45453.72
M-00137,Robinson-Glover,Services,2020-10-27,Registered,37017.52
M-00138,Perez-Brewer,Food & Beverage,2018-10-26,Not Registered,35700.02
M-00139,"Aguirre, Johnson and Castillo",Wholesale,2020-12-22,Not Registered,9488.69
M-00140,"Walker, Walker and Evans",Services,2015-08-05,Registered,49315.01
M-00141,Nichols-Ryan,E-commerce,2021-06-05,Registered,24722.93
M-00142,Webster Ltd,Services,2017-04-01,Not Registered,9646.69
M-00143,Williams-Bryan,Wholesale,2022-04-07,Not Registered,30808.58
M-00144,Shah-Murray,Retail,2024-01-14,Registered,16184.66
M-00145,"Cole, Bishop and Sanchez",Food & Beverage,2018-06-22,Registered,45334.31
M-00146,"Johnson, Williams and Ochoa",E-commerce,2018-12-02,Registered,23896.38
M-00147,"Murphy, Gibson and Smith",Food & Beverage,2021-05-17,Registered,32177.2
M-00148,Charles and Sons,E-commerce,2020-10-13,Registered,29816.76
M-00149,"Thompson, Kelly and Mckenzie",Wholesale,2017-10-12,Registered,44664.17
M-00150,Edwards Ltd,Retail,2022-10-23,Registered,8010.43
M-00151,Carter-Bailey,Retail,2022-01-26,Registered,26623.57
M-00152,"Lee, Barajas and Garza",Wholesale,2014-11-29,Registered,44833.41
M-00153,Jackson-Smith,Retail,2019-05-29,Registered,48567.05
M-00154,"Foster, Bates and Mack",Retail,2023-06-29,Not Registered,29420.55
M-00155,"Moore, Wiggins and Weaver",Food & Beverage,2023-02-26,Not Registered,24152.14
M-00156,Thompson LLC,Services,2023-12-15,Not Registered,2078.93
M-00157,"Kennedy, Williams and Brooks",Wholesale,2015-12-05,Not Registered,38018.29
M-00158,Clark-Gonzales,Wholesale,2022-01-19,Not Registered,32722.83
M-00159,Ellis-Johnson,Services,2022-06-18,Not Registered,17162.71
M-00160,"Wood, Briggs and Jackson",Retail,2022-09-30,Registered,30873.67
M-00161,Patel and Sons,E-commerce,2016-05-14,Registered,47402.18
M-00162,Garcia-Hart,Food & Beverage,2015-06-20,Not Registered,38764.32
M-00163,Ramos Group,E-commerce,2021-05-27,Not Registered,22567.99
M-00164,Evans-Butler,Retail,2019-11-04,Registered,16681.9
M-00165,Rodriguez Ltd,Services,2022-10-11,Not Registered,6935.84
M-00166,Hernandez Ltd,E-commerce,2016-10-02,Not Registered,12944.5
M-00167,Rivera-Miller,Retail,2019-04-04,Registered,28652.82
M-00168,Mcdonald-Pearson,E-commerce,2023-02-08,Not Registered,43541.84
M-00169,"Arnold, Boyd and Harris",Wholesale,2019-07-28,Not Registered,18357.75
M-00170,"Williams, Moore and Sparks",Services,2020-11-04,Registered,48822.32
M-00171,Rivas Ltd,E-commerce,2019-06-15,Registered,19248.41
M-00172,Dyer and Sons,E-commerce,2018-10-04,Registered,18080.25
M-00173,"Williams, Hall and Hughes",Wholesale,2024-01-29,Not Registered,13255.56
M-00174,Nelson-Lamb,Services,2017-06-02,Not Registered,16571.7
M-00175,"Myers, Anderson and Horton",Wholesale,2015-06-14,Registered,45932.99
M-00176,Taylor-Martinez,Services,2022-05-01,Not Registered,17035.76
M-00177,Carlson-Krause,Retail,2023-06-03,Not Registered,20813.32
M-00178,Malone PLC,Services,2018-04-04,Not Registered,45475.94
M-00179,"Watkins, Kennedy and Quinn",Food & Beverage,2019-07-26,Registered,4592.77
M-00180,"Hogan, Williams and George",Retail,2024-03-11,Registered,48813.2
M-00181,Novak Inc,Food & Beverage,2023-11-15,Registered,2756.32
M-00182,Smith and Sons,Services,2018-04-08,Registered,21018.22
M-00183,"Norton, Ramirez and Andrews",E-commerce,2021-05-31,Not Registered,3960.68
M-00184,"Peterson, Hopkins and Tran",Food & Beverage,2020-09-06,Registered,42646.86
M-00185,"Kim, Edwards and Miller",Retail,2020-08-11,Registered,49058.07
M-00186,White Group,E-commerce,2021-08-02,Not Registered,39312.46
M-00187,Figueroa-Mccoy,E-commerce,2023-06-11,Not Registered,35689.13
M-00188,"Reese, Soto and Jones",Services,2022-12-03,Registered,1713.25
M-00189,Gomez-Nelson,Retail,2022-10-17,Not Registered,29429.96
M-00190,"Wilson, Alvarez and Lucas",Retail,2019-06-06,Registered,21114.97
M-00191,Nash-Pruitt,Retail,2017-01-22,Not Registered,21785.39
M-00192,Clark LLC,E-commerce,2017-08-09,Not Registered,17895.74
M-00193,Rodgers LLC,Food & Beverage,2024-01-06,Not Registered,9244.53
M-00194,"Mueller, Anderson and Spence",E-commerce,2021-05-03,Registered,36116.55
M-00195,"Rowe, Griffith and Green",Wholesale,2021-09-12,Not Registered,32645.92
M-00196,Foster Ltd,Wholesale,2015-09-06,Not Registered,25892.82
M-00197,Moore-Kim,Retail,2022-12-28,Not Registered,37439.94
M-00198,Leblanc and Sons,Retail,2018-12-17,Registered,37153.45
M-00199,"Knight, Bennett and Green",Retail,2019-06-08,Not Registered,32941.11
M-00200,Ray Inc,Retail,2024-08-10,Registered,45328.2
M-00201,Meyer-Martin,Retail,2023-05-08,Not Registered,4269.36
M-00202,Hill Inc,Food & Beverage,2019-02-07,Not Registered,34582.36
M-00203,Luna-Beck,E-commerce,2022-08-02,Not Registered,19910.58
M-00204,Madden-Aguirre,E-commerce,2022-03-08,Registered,27683.2
M-00205,Miller and Sons,Wholesale,2023-02-20,Not Registered,11671.53
M-00206,"Russell, York and Vance",Wholesale,2017-02-15,Not Registered,19679.84
M-00207,Harris LLC,Food & Beverage,2016-04-09,Not Registered,30432.01
M-00208,Velazquez-Daniels,E-commerce,2018-06-15,Not Registered,23260.75
M-00209,"Thompson, Smith and Miller",E-commerce,2024-05-15,Not Registered,39194.16
M-00210,Gibson-Nielsen,Food & Beverage,2016-10-23,Not Registered,29252.26
M-00211,"Hale, Jones and Colon",E-commerce,2018-11-21,Registered,19574.31
M-00212,"Valenzuela, Peterson and Swanson",Food & Beverage,2015-09-08,Not Registered,46515.4
M-00213,"Allen, Franklin and Baker",Services,2022-12-05,Registered,3256.29
M-00214,"Watson, Wolfe and Gates",Services,2016-10-26,Not Registered,4483.51
M-00215,Lutz-Crosby,E-commerce,2024-02-17,Not Registered,3235.16
M-00216,Butler-Taylor,Retail,2019-12-07,Not Registered,22582.17
M-00217,Joseph-Thompson,Services,2024-02-10,Not Registered,7165.76
M-00218,Howard LLC,Wholesale,2020-08-18,Not Registered,47310.0
M-00219,Esparza Inc,Food & Beverage,2018-06-04,Registered,33733.5
M-00220,White-Boyd,Retail,2023-06-07,Registered,42236.81
M-00221,"Murray, Brady and Cox",Retail,2014-11-24,Not Registered,1636.79
M-00222,"Blackburn, Pham and Hill",Wholesale,2020-03-02,Not Registered,33333.02
M-00223,"Nicholson, Burgess and Wilson",Services,2015-05-04,Not Registered,32384.47
M-00224,Sanchez Inc,Food & Beverage,2024-05-24,Not Registered,17681.85
M-00225,"Gonzalez, Miller and Baird",E-commerce,2018-10-12,Not Registered,33431.92
M-00226,Chambers LLC,Food & Beverage,2016-03-16,Registered,26247.75
M-00227,Adams LLC,E-commerce,2016-10-30,Not Registered,22065.16
M-00228,"Dudley, Harrington and Briggs",E-commerce,2022-10-08,Not Registered,21371.33
M-00229,Krause PLC,Food & Beverage,2015-07-22,Registered,31637.99
M-00230,Smith-Duncan,E-commerce,2023-09-29,Registered,29735.74
M-00231,"Mccoy, Hoffman and Brown",E-commerce,2022-10-29,Registered,46483.58
M-00232,West-Thompson,Services,2017-11-29,Registered,22969.22
M-00233,Donaldson and Sons,Wholesale,2023-12-04,Not Registered,42014.2
M-00234,Savage-Matthews,Retail,2017-06-04,Not Registered,13160.0
M-00235,Stevens Ltd,Retail,2019-08-09,Not Registered,9316.76
M-00236,Campbell-Lewis,Wholesale,2021-01-14,Registered,24843.95
M-00237,"Chung, Hall and Reyes",Services,2023-01-19,Registered,41426.73
M-00238,"Preston, Lopez and Huffman",E-commerce,2022-06-12,Not Registered,48319.7
M-00239,Novak-Moore,Food & Beverage,2023-06-25,Registered,12692.76
M-00240,Vasquez LLC,Services,2023-02-09,Not Registered,10180.25
M-00241,"Gomez, Freeman and Parker",Services,2021-01-07,Not Registered,14753.26
M-00242,Ramos PLC,Services,2023-02-24,Registered,43931.6
M-00243,"Fernandez, Martin and Hernandez",Wholesale,2022-02-18,Registered,30246.65
M-00244,Fowler Inc,Food & Beverage,2024-10-08,Not Registered,49554.3
M-00245,Williams Ltd,Food & Beverage,2024-03-09,Registered,15037.45
M-00246,"Miller, Williams and Perez",Wholesale,2021-07-15,Registered,21119.38
M-00247,Rodriguez Group,Services,2024-07-18,Not Registered,27665.77
M-00248,"Berry, Bailey and Lewis",Services,2018-03-05,Not Registered,18958.26
M-00249,Sawyer-Green,E-commerce,2018-02-04,Not Registered,1693.59
M-00250,Mann-Smith,Food & Beverage,2024-11-21,Not Registered,15248.8
M-00251,"Moon, Anderson and Haley",E-commerce,2024-01-11,Registered,2093.39
M-00252,Aguirre LLC,Wholesale,2022-09-27,Registered,11888.87
M-00253,Hansen Inc,Services,2021-08-26,Registered,13319.14
M-00254,Richardson-Cuevas,Wholesale,2020-06-27,Not Registered,10487.19
M-00255,Griffith PLC,E-commerce,2019-09-27,Not Registered,10283.0
M-00256,Valdez Ltd,Food & Beverage,2023-02-25,Not Registered,40547.82
M-00257,Baker-Mitchell,Services,2017-08-13,Not Registered,13047.25
M-00258,"Butler, Sweeney and Espinoza",Services,2022-02-23,Not Registered,19246.63
M-00259,Rice-Jones,Food & Beverage,2023-05-27,Registered,32421.99
M-00260,Jenkins-Dunn,Wholesale,2016-07-22,Not Registered,43344.31
M-00261,"Griffith, Prince and Fowler",Services,2024-09-19,Registered,34479.13
M-00262,"Washington, Rivera and Avila",Services,2022-07-26,Not Registered,29028.92
M-00263,Day Ltd,Retail,2016-10-18,Not Registered,1866.01
M-00264,Pena Inc,Food & Beverage,2017-08-14,Registered,21288.14
M-00265,"Hensley, Jackson and Miller",E-commerce,2019-12-04,Registered,13710.95
M-00266,Rose Group,Wholesale,2019-04-20,Registered,35213.43
M-00267,"Martinez, Taylor and Stevens",E-commerce,2018-02-07,Registered,37611.84
M-00268,Cruz-Calhoun,Services,2016-11-08,Not Registered,48125.13
M-00269,Jones-Nelson,Services,2020-11-08,Registered,3648.52
M-00270,Baldwin Inc,E-commerce,2016-02-18,Not Registered,38496.66
M-00271,"Elliott, Jones and Parker",Wholesale,2017-05-03,Not Registered,18205.04
M-00272,Morgan Group,E-commerce,2016-07-13,Not Registered,13016.25
M-00273,"Bryan, Booker and Dickerson",Services,2023-04-20,Registered,23262.73
M-00274,"Martin, Williams and Hurst",E-commerce,2020-12-30,Not Registered,39914.51
M-00275,Johnson-Frey,Food & Beverage,2024-08-07,Registered,44770.36
M-00276,"Cook, Foster and Smith",E-commerce,2016-06-04,Registered,12872.71
M-00277,Stone LLC,Wholesale,2020-02-02,Registered,44266.15
M-00278,Jones Group,Services,2021-08-28,Registered,11081.77
M-00279,"Austin, Kim and Roberts",Services,2022-02-09,Not Registered,22450.98
M-00280,Key-Hamilton,Food & Beverage,2017-08-20,Registered,34896.9
M-00281,Wagner and Sons,Wholesale,2015-10-18,Not Registered,29367.1
M-00282,"Gray, Barnes and Smith",E-commerce,2017-04-07,Not Registered,4635.84
M-00283,"Burgess, Mendez and Richards",Retail,2023-03-21,Not Registered,21474.93
M-00284,"West, Diaz and Pineda",Services,2020-02-16,Not Registered,12868.18
M-00285,"Gray, Welch and Burton",Food & Beverage,2016-10-26,Not Registered,30047.21
M-00286,Henderson LLC,Services,2023-04-26,Not Registered,5712.29
M-00287,Fisher-Williamson,Services,2019-06-13,Registered,16163.14
M-00288,"Turner, Nicholson and Cook",Retail,2020-10-01,Not Registered,45919.59
M-00289,Murray-Burke,Retail,2019-10-31,Not Registered,2515.28
M-00290,Williamson Ltd,Services,2024-04-02,Registered,49366.91
M-00291,Lyons-Mcclure,Wholesale,2014-12-08,Registered,28992.98
M-00292,Choi and Sons,Wholesale,2022-12-21,Not Registered,32522.66
M-00293,Finley PLC,Services,2024-06-15,Not Registered,29807.24
M-00294,Cervantes and Sons,Services,2017-06-14,Registered,14311.43
M-00295,"Robinson, Burton and Stevens",Food & Beverage,2018-09-03,Registered,40882.36
M-00296,"Smith, Morse and Peters",Retail,2021-03-02,Registered,47797.73
M-00297,"Pena, Alvarez and Boyd",Wholesale,2022-03-22,Registered,12546.89
M-00298,"Phillips, Stewart and Vasquez",Food & Beverage,2016-02-02,Registered,25592.28
M-00299,Smith-Moore,Retail,2015-07-23,Not Registered,37691.03
M-00300,Williams Inc,Food & Beverage,2023-10-30,Registered,46252.89
M-00301,"Jones, Howard and Jacobs",Wholesale,2018-05-13,Not Registered,31711.44
M-00302,Mills Inc,E-commerce,2017-02-10,Registered,2223.5
M-00303,"Munoz, Chang and Peterson",E-commerce,2021-03-28,Registered,2776.76
M-00304,Velez Inc,Retail,2017-01-12,Registered,13332.26
M-00305,"Gordon, Downs and Lopez",Food & Beverage,2023-12-25,Not Registered,5464.06
M-00306,Gonzalez-Kane,Services,2023-09-25,Not Registered,40463.53
M-00307,Campbell-Cooper,Food & Beverage,2021-02-22,Not Registered,35017.74
M-00308,Watts-Martin,Services,2019-11-06,Registered,48556.01
M-00309,Edwards-Wagner,Food & Beverage,2016-06-26,Not Registered,32643.01
M-00310,Arnold PLC,Wholesale,2023-03-26,Not Registered,24582.09
M-00311,"Coleman, Orr and Hanna",Food & Beverage,2020-03-16,Not Registered,4047.95
M-00312,Jones LLC,Services,2017-04-05,Not Registered,28154.37
M-00313,"Alvarez, Bauer and Gutierrez",Retail,2021-09-05,Not Registered,44083.16
M-00314,Gentry-Adams,Retail,2023-03-26,Not Registered,17947.05
M-00315,Stephenson-Rocha,Food & Beverage,2020-10-01,Registered,43974.37
M-00316,"Bell, Phillips and Burke",Food & Beverage,2024-11-03,Not Registered,18588.15
M-00317,"Davis, Miller and Joseph",Services,2024-02-17,Registered,3145.89
M-00318,"Butler, Smith and Tucker",Food & Beverage,2016-09-01,Registered,9862.75
M-00319,"Gardner, Ramos and Baker",Services,2015-07-21,Registered,30315.7
M-00320,King LLC,E-commerce,2014-12-06,Not Registered,38991.59
M-00321,Rollins-Holt,Retail,2016-05-13,Not Registered,19732.95
M-00322,"Stephens, Hill and Fleming",E-commerce,2024-06-20,Registered,36946.01
M-00323,Stephens-Franklin,E-commerce,2018-09-21,Registered,29171.64
M-00324,Johnston Inc,Services,2023-02-20,Registered,37856.89
M-00325,"Garcia, Obrien and Simpson",Retail,2022-02-28,Not Registered,27196.74
M-00326,"Thompson, Dorsey and Olsen",Wholesale,2024-08-02,Not Registered,31253.52
M-00327,Cummings-Lyons,E-commerce,2022-04-24,Not Registered,20969.43
M-00328,Hammond and Sons,E-commerce,2021-06-19,Registered,44292.62
M-00329,"Rosales, Taylor and Hicks",Services,2018-09-21,Registered,46997.12
M-00330,Atkinson-Lee,Wholesale,2021-05-17,Registered,31461.19
M-00331,Powell-Brown,Wholesale,2017-07-29,Registered,37073.36
M-00332,Rivera-Patterson,Retail,2021-06-14,Not Registered,10229.27
M-00333,"Ryan, Blair and Robles",Wholesale,2020-03-22,Registered,17129.8
M-00334,Leonard-Miller,Services,2017-07-15,Not Registered,29479.49
M-00335,Sheppard Inc,E-commerce,2019-04-20,Registered,42644.06
M-00336,Washington-Wilson,Food & Beverage,2019-12-20,Registered,22117.62
M-00337,"Hall, Rice and Gonzales",Food & Beverage,2015-08-11,Registered,28958.21
M-00338,"Reed, Johnson and Garcia",Services,2015-01-20,Not Registered,33592.09
M-00339,Robinson Group,E-commerce,2017-11-06,Registered,18597.53
M-00340,Anderson-Brown,Services,2016-10-28,Registered,18623.07
M-00341,Marshall PLC,Retail,2015-07-02,Registered,42567.06
M-00342,Gibson-Kelly,Wholesale,2024-10-01,Not Registered,48825.19
M-00343,"Cook, Harris and Garcia",Wholesale,2021-12-21,Registered,12075.2
M-00344,Cain-Johnston,Food & Beverage,2015-09-28,Not Registered,29335.68
M-00345,Garcia and Sons,Food & Beverage,2024-05-24,Not Registered,25276.81
M-00346,"Mendoza, Rios and Sullivan",Services,2023-04-28,Registered,21366.38
M-00347,"Hoffman, Beck and Guerra",E-commerce,2015-11-18,Registered,26849.1
M-00348,"Mitchell, Glover and Moody",Services,2024-02-16,Registered,3543.11
M-00349,"Smith, Smith and Young",E-commerce,2017-02-17,Registered,24071.6
M-00350,Thompson LLC,Services,2021-11-14,Not Registered,15675.67
M-00351,"Young, Lara and Smith",Wholesale,2023-01-16,Registered,23038.4
M-00352,"Webster, Wilson and Fowler",Retail,2020-06-12,Registered,7480.1
M-00353,Long and Sons,Food & Beverage,2022-03-04,Not Registered,12471.37
M-00354,"Moore, Nguyen and Graves",Wholesale,2015-10-05,Registered,6400.1
M-00355,Macdonald-Mason,Retail,2019-02-22,Not Registered,27593.06
M-00356,Peters Inc,Retail,2019-01-11,Not Registered,28692.31
M-00357,Stone-Velez,Wholesale,2022-02-25,Not Registered,42633.84
M-00358,Hart and Sons,Services,2021-06-30,Registered,17180.9
M-00359,Martin-Shelton,Services,2017-06-25,Not Registered,2874.15
M-00360,"Grant, Shea and Daniels",Services,2019-03-04,Not Registered,31486.57
M-00361,Pugh Group,Retail,2018-11-17,Not Registered,36949.94
M-00362,Ortega-Gay,Wholesale,2017-11-04,Not Registered,27240.41
M-00363,Mills-Jefferson,E-commerce,2023-08-24,Registered,37421.09
